2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | ================================================================================
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso_runner | Running PSO for number_of_sensors=3
2026-02-23 21:35:20 | INFO | underwater_sensor_ga.pso | PSO seeds | pso_seed=321 | scenario_seed=123
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 32/80 | best_global_cost=12.312 | iter_best=39.728
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 33/80 | best_global_cost=12.312 | iter_best=24.510
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 34/80 | best_global_cost=12.312 | iter_best=29.302
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 35/80 | best_global_cost=12.312 | iter_best=20.590
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 36/80 | best_global_cost=12.312 | iter_best=19.159
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 37/80 | best_global_cost=12.312 | iter_best=17.484
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 38/80 | best_global_cost=12.312 | iter_best=20.464
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 39/80 | best_global_cost=12.312 | iter_best=26.328
2026-02-23 21:35:29 | INFO | underwater_sensor_ga.pso | PSO iter 40/80 | best_global_cost=12.312 | iter_best=14.232
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 41/80 | best_global_cost=12.312 | iter_best=13.804
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 42/80 | best_global_cost=12.312 | iter_best=22.334
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 43/80 | best_global_cost=12.312 | iter_best=18.745
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 44/80 | best_global_cost=12.312 | iter_best=29.902
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 45/80 | best_global_cost=12.312 | iter_best=22.894
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 46/80 | best_global_cost=12.312 | iter_best=24.676
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 47/80 | best_global_cost=12.312 | iter_best=27.253
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 48/80 | best_global_cost=12.312 | iter_best=25.264
2026-02-23 21:35:30 | INFO | underwater_sensor_ga.pso | PSO iter 49/80 | best_global_cost=12.312 | iter_best=15.819
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 50/80 | best_global_cost=11.120 | iter_best=11.120
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 51/80 | best_global_cost=11.120 | iter_best=22.587
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 52/80 | best_global_cost=11.120 | iter_best=23.229
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 53/80 | best_global_cost=11.120 | iter_best=25.743
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 54/80 | best_global_cost=11.120 | iter_best=16.720
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 55/80 | best_global_cost=11.120 | iter_best=16.495
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 56/80 | best_global_cost=11.120 | iter_best=18.546
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 57/80 | best_global_cost=11.120 | iter_best=20.198
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 58/80 | best_global_cost=11.120 | iter_best=22.624
2026-02-23 21:35:31 | INFO | underwater_sensor_ga.pso | PSO iter 59/80 | best_global_cost=11.120 | iter_best=30.585
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 60/80 | best_global_cost=11.120 | iter_best=19.806
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 61/80 | best_global_cost=11.120 | iter_best=18.646
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 62/80 | best_global_cost=11.120 | iter_best=21.067
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 63/80 | best_global_cost=11.120 | iter_best=20.391
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 64/80 | best_global_cost=11.120 | iter_best=26.447
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 65/80 | best_global_cost=11.120 | iter_best=29.927
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 66/80 | best_global_cost=11.120 | iter_best=22.325
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 67/80 | best_global_cost=11.120 | iter_best=20.609
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 68/80 | best_global_cost=11.120 | iter_best=13.572
2026-02-23 21:35:32 | INFO | underwater_sensor_ga.pso | PSO iter 69/80 | best_global_cost=11.120 | iter_best=18.212
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 70/80 | best_global_cost=11.120 | iter_best=18.606
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 71/80 | best_global_cost=11.120 | iter_best=16.855
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 72/80 | best_global_cost=11.120 | iter_best=15.532
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 73/80 | best_global_cost=11.120 | iter_best=14.234
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 74/80 | best_global_cost=11.120 | iter_best=20.020
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 75/80 | best_global_cost=11.120 | iter_best=22.296
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 76/80 | best_global_cost=11.120 | iter_best=38.778
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 77/80 | best_global_cost=11.120 | iter_best=21.145
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 78/80 | best_global_cost=11.120 | iter_best=21.247
2026-02-23 21:35:33 | INFO | underwater_sensor_ga.pso | PSO iter 79/80 | best_global_cost=11.120 | iter_best=20.492
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso | PSO iter 80/80 | best_global_cost=11.120 | iter_best=26.535
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso_runner | Final PSO best cost (N=4): 11.120
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso_runner | ================================================================================
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso_runner | Running PSO for number_of_sensors=5
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso | PSO seeds | pso_seed=321 | scenario_seed=123
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso | PSO iter 1/80 | best_global_cost=104.451 | iter_best=104.451
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso | PSO iter 2/80 | best_global_cost=78.474 | iter_best=78.474
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso | PSO iter 3/80 | best_global_cost=78.474 | iter_best=145.448
2026-02-23 21:35:34 | INFO | underwater_sensor_ga.pso | PSO iter 4/80 | best_global_cost=52.435 | iter_best=52.435
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 5/80 | best_global_cost=52.435 | iter_best=112.982
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 6/80 | best_global_cost=52.435 | iter_best=72.860
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 7/80 | best_global_cost=52.435 | iter_best=95.428
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 8/80 | best_global_cost=52.435 | iter_best=89.705
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 9/80 | best_global_cost=52.435 | iter_best=79.189
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 10/80 | best_global_cost=52.435 | iter_best=103.232
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 11/80 | best_global_cost=52.435 | iter_best=59.401
2026-02-23 21:35:35 | INFO | underwater_sensor_ga.pso | PSO iter 12/80 | best_global_cost=51.721 | iter_best=51.721
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 13/80 | best_global_cost=51.721 | iter_best=147.374
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 14/80 | best_global_cost=51.721 | iter_best=82.017
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 15/80 | best_global_cost=51.721 | iter_best=61.577
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 16/80 | best_global_cost=51.721 | iter_best=73.495
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 17/80 | best_global_cost=51.721 | iter_best=79.710
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 18/80 | best_global_cost=51.465 | iter_best=51.465
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 19/80 | best_global_cost=51.465 | iter_best=70.225
2026-02-23 21:35:36 | INFO | underwater_sensor_ga.pso | PSO iter 20/80 | best_global_cost=51.465 | iter_best=99.304
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 21/80 | best_global_cost=51.465 | iter_best=81.586
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 22/80 | best_global_cost=51.465 | iter_best=59.667
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 23/80 | best_global_cost=51.465 | iter_best=90.249
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 24/80 | best_global_cost=51.465 | iter_best=51.701
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 25/80 | best_global_cost=51.465 | iter_best=83.742
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 26/80 | best_global_cost=51.465 | iter_best=124.596
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 27/80 | best_global_cost=51.465 | iter_best=88.706
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 28/80 | best_global_cost=51.465 | iter_best=88.645
2026-02-23 21:35:37 | INFO | underwater_sensor_ga.pso | PSO iter 29/80 | best_global_cost=51.465 | iter_best=66.391
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 30/80 | best_global_cost=51.465 | iter_best=77.383
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 31/80 | best_global_cost=50.657 | iter_best=50.657
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 32/80 | best_global_cost=50.657 | iter_best=62.629
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 33/80 | best_global_cost=50.657 | iter_best=51.898
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 34/80 | best_global_cost=50.657 | iter_best=65.830
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 35/80 | best_global_cost=50.657 | iter_best=56.404
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 36/80 | best_global_cost=50.657 | iter_best=86.068
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 37/80 | best_global_cost=50.657 | iter_best=78.898
2026-02-23 21:35:38 | INFO | underwater_sensor_ga.pso | PSO iter 38/80 | best_global_cost=50.657 | iter_best=108.507
2026-02-23 21:35:39 | INFO | underwater_sensor_ga.pso | PSO iter 39/80 | best_global_cost=50.657 | iter_best=115.481
2026-02-23 21:35:39 | INFO | underwater_sensor_ga.pso | PSO iter 40/80 | best_global_cost=50.657 | iter_best=78.631
2026-02-23 21:35:39 | INFO | underwater_sensor_ga.pso | PSO iter 41/80 | best_global_cost=50.657 | iter_best=80.668
2026-02-23 21:35:39 | INFO | underwater_sensor_ga.pso | PSO iter 42/80 | best_global_cost=50.657 | iter_best=80.852
2026-02-23 21:35:39 | INFO | underwater_sensor_ga.pso | PSO iter 43/80 | best_global_cost=50.657 | iter_best=63.924
