2026-02-21 22:46:18 | INFO | underwater_sensor_ga.ga | Generation 156/500 | best_global_cost=4.474 | generation_best=4.769
2026-02-21 22:46:20 | INFO | underwater_sensor_ga.ga | Generation 157/500 | best_global_cost=4.474 | generation_best=4.863
2026-02-21 22:46:22 | INFO | underwater_sensor_ga.ga | Generation 158/500 | best_global_cost=4.474 | generation_best=4.854
2026-02-21 22:46:25 | INFO | underwater_sensor_ga.ga | Generation 159/500 | best_global_cost=4.474 | generation_best=4.580
2026-02-21 22:46:27 | INFO | underwater_sensor_ga.ga | Generation 160/500 | best_global_cost=4.474 | generation_best=4.836
2026-02-21 22:46:29 | INFO | underwater_sensor_ga.ga | Generation 161/500 | best_global_cost=4.474 | generation_best=4.793
2026-02-21 22:46:32 | INFO | underwater_sensor_ga.ga | Generation 162/500 | best_global_cost=4.474 | generation_best=4.724
2026-02-21 22:46:34 | INFO | underwater_sensor_ga.ga | Generation 163/500 | best_global_cost=4.474 | generation_best=4.693
2026-02-21 22:46:36 | INFO | underwater_sensor_ga.ga | Generation 164/500 | best_global_cost=4.474 | generation_best=5.055
2026-02-21 22:46:38 | INFO | underwater_sensor_ga.ga | Generation 165/500 | best_global_cost=4.474 | generation_best=4.942
2026-02-21 22:46:41 | INFO | underwater_sensor_ga.ga | Generation 166/500 | best_global_cost=4.474 | generation_best=4.898
2026-02-21 22:46:43 | INFO | underwater_sensor_ga.ga | Generation 167/500 | best_global_cost=4.474 | generation_best=5.024
2026-02-21 22:46:45 | INFO | underwater_sensor_ga.ga | Generation 168/500 | best_global_cost=4.474 | generation_best=4.859
2026-02-21 22:46:47 | INFO | underwater_sensor_ga.ga | Generation 169/500 | best_global_cost=4.474 | generation_best=4.850
2026-02-21 22:46:50 | INFO | underwater_sensor_ga.ga | Generation 170/500 | best_global_cost=4.474 | generation_best=4.966
2026-02-21 22:46:52 | INFO | underwater_sensor_ga.ga | Generation 171/500 | best_global_cost=4.474 | generation_best=4.834
2026-02-21 22:46:54 | INFO | underwater_sensor_ga.ga | Generation 172/500 | best_global_cost=4.474 | generation_best=4.627
2026-02-21 22:46:57 | INFO | underwater_sensor_ga.ga | Generation 173/500 | best_global_cost=4.474 | generation_best=4.957
2026-02-21 22:46:59 | INFO | underwater_sensor_ga.ga | Generation 174/500 | best_global_cost=4.474 | generation_best=4.879
