generation,label,total_cost,mean_error_m,no_coverage_rate,localizable_impacts,num_impacts
93,GA_best_gen,5.1375689806528175,4.743657013526049,0.0,30,30
93,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
94,GA_best_gen,4.90365301931271,4.564849359832412,0.0,30,30
94,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
95,GA_best_gen,5.06714490936126,4.681637524280336,0.0,30,30
95,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
96,GA_best_gen,4.894986978018259,4.5837068298011125,0.0,30,30
96,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
97,GA_best_gen,5.148738329269681,4.756571015368374,0.0,30,30
97,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
98,GA_best_gen,5.3745168107582195,4.920235763106145,0.0,30,30
98,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
99,GA_best_gen,5.015666629326415,4.65055723868868,0.0,30,30
99,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
100,GA_best_gen,5.269439668900223,4.81553155792787,0.0,30,30
100,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
101,GA_best_gen,4.894119120561785,4.5487483157756525,0.0,30,30
101,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
102,GA_best_gen,5.08818667875835,4.68904814039544,0.0,30,30
102,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
103,GA_best_gen,4.938649681867572,4.614296863569492,0.0,30,30
103,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
104,GA_best_gen,4.775086520947287,4.489357849218349,0.0,30,30
104,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
105,GA_best_gen,5.188957827893622,4.778804566184809,0.0,30,30
105,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
106,GA_best_gen,5.223549593454649,4.837829487695955,0.0,30,30
106,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
107,GA_best_gen,5.196284868709999,4.766987851778067,0.0,30,30
107,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
108,GA_best_gen,4.866550586395915,4.553691827601484,0.0,30,30
108,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
109,GA_best_gen,4.912953811794726,4.596671251458969,0.0,30,30
109,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
110,GA_best_gen,5.003750918363422,4.66899223795152,0.0,30,30
110,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
111,GA_best_gen,5.010628920628006,4.661413455076412,0.0,30,30
111,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
112,GA_best_gen,5.002777938356033,4.661796091804173,0.0,30,30
112,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
113,GA_best_gen,4.9479108378523815,4.58460946063605,0.0,30,30
113,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
114,GA_best_gen,4.771923268979086,4.476148416559044,0.0,30,30
114,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
115,GA_best_gen,4.903395607015615,4.549336836451663,0.0,30,30
115,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
116,GA_best_gen,5.10709651705093,4.741977492217302,0.0,30,30
116,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
117,GA_best_gen,5.040422563341729,4.687770023457432,0.0,30,30
117,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
118,GA_best_gen,4.824243849645061,4.506978126501207,0.0,30,30
118,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
119,GA_best_gen,5.154080414970318,4.745624861732208,0.0,30,30
119,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
120,GA_best_gen,5.148967231311177,4.772672107757301,0.0,30,30
120,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
121,GA_best_gen,4.967009087570158,4.625875443665787,0.0,30,30
121,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
122,GA_best_gen,5.193268677663467,4.790431477849029,0.0,30,30
122,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
123,GA_best_gen,4.6107954025816555,4.375864672973247,0.0,30,30
123,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
124,GA_best_gen,4.618526784054059,4.3608705678941115,0.0,30,30
124,GA_best_global,4.553438254281663,4.334294436004184,0.0,30,30
125,GA_best_gen,4.479933494304033,4.236436669742855,0.0,30,30
125,GA_best_global,4.479933494304033,4.236436669742855,0.0,30,30
126,GA_best_gen,4.850718343098045,4.516482038237475,0.0,30,30
126,GA_best_global,4.479933494304033,4.236436669742855,0.0,30,30
127,GA_best_gen,4.736725013899559,4.4156482325704935,0.0,30,30
127,GA_best_global,4.479933494304033,4.236436669742855,0.0,30,30
128,GA_best_gen,4.965402467763942,4.632694677748612,0.0,30,30
128,GA_best_global,4.479933494304033,4.236436669742855,0.0,30,30
129,GA_best_gen,4.8200868794066745,4.4897039567423604,0.0,30,30
129,GA_best_global,4.479933494304033,4.236436669742855,0.0,30,30
130,GA_best_gen,4.872288105429243,4.537479524131808,0.0,30,30
130,GA_best_global,4.479933494304033,4.236436669742855,0.0,30,30
131,GA_best_gen,4.417247014914958,4.182501725768594,0.0,30,30
131,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
132,GA_best_gen,4.965669658718545,4.603145537269638,0.0,30,30
132,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
133,GA_best_gen,4.750642928826189,4.451613254457494,0.0,30,30
133,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
134,GA_best_gen,4.7890531727997105,4.497576457941035,0.0,30,30
134,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
135,GA_best_gen,5.098582968130053,4.689808399362289,0.0,30,30
135,GA_best_global,4.417247014914958,4.182501725768594,0.0,30,30
